Product Name,Stock Status,Categories,MRP (Price),Tile Image URL,Ambience Image URL,PDP URL,Colour,Finish,Material,Collection,Design,Plant,Size
Canto Almond,Out of Stock,Floor Tiles | Granite Tiles | 2x2 Tiles | Brown Tiles | Glossy Tiles | Tile Collection | Canto Series Tiles | Medium Tiles | Double Charge Tiles | Hospital Tiles | Living Room Tiles | Floor | Floor | Brown Granite Tiles | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Wall | Wall | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles in Noida | Tiles in Lucknow | Wall Tiles | Living Room Wall Tiles | Bathroom Tiles | Kitchen Tiles | Accent Tiles | School Tiles | High Traffic Tiles | Floor | Wall | Floor | Wall | 80x160 DC | Bathroom Wall Tiles | Kitchen Floor Tiles | Bathroom Floor Tiles | Brown Bathroom Tiles | Kitchen Wall Tiles | Morbi Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Subway Tiles | Athangudi Tiles | Elevation Tiles | Outdoor Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,1069.44,https://images.orientbell.com/media/catalog/product/c/a/canto-almond_22.jpg,https://images.orientbell.com/media/catalog/product/c/a/canto-almond-office-60x60-cm_22.jpg,https://server.orientbell.com/canto-almond-marble-double-charge-vitrified-floor-tiles.html,Brown,Glossy Finish,"Vitrified, Double Charge",Canto Series Tiles,Granite,West Zone,600x600 mm
Star Sandune,Out of Stock,Floor Tiles | Bar Tiles | Hospital Tiles | Living Room Tiles | Restaurant Tiles | High Traffic Tiles | Dining Room Tiles | Granite Tiles | Vitrified Tiles | Double Charge Tiles | Brown Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Medium Tiles | Floor | Floor | Brown Granite Tiles | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Bedroom Floor Tiles | Living Room Floor Tiles | Tiles in Lucknow | Tiles in Noida | Morbi Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,930.56,https://images.orientbell.com/media/catalog/product/s/t/star_sandune_s_.jpg,https://images.orientbell.com/media/catalog/product/s/t/star_sandune_s_.jpg,https://server.orientbell.com/star-sandune-marble-double-charge-vitrified-floor-tiles.html,Brown,Glossy Finish,"Vitrified, Double Charge",,Granite,West Zone,600x600 mm
DGVT Rio Wood,In Stock,Floor Tiles | Wooden Tiles | 2x2 Tiles | Matte Finish Tiles | Tile Collection | Medium Tiles | Balcony Tiles | Bar Tiles | Hospital Tiles | Bathroom Tiles | Kitchen Tiles | Outdoor Tiles | Living Room Tiles | Office Tiles | Dining Room Tiles | Restaurant Tiles | High Traffic Tiles | GVT Tiles | Dgvt Tiles | Digital Glazed Vitrified Tiles | Floor | Floor | Floor | Floor | Floor | Floor | Floor | Tiles in Delhi | 2x2 Double Charge Tiles | 80x160 DC | Bathroom Wall Tiles | Wooden Floor Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Floor Tiles | Bathroom Floor Tiles | Outdoor Floor Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Tiles in Kolkata | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles In Darjeeling | Tiles in Delhi | Tiles in Patna | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Noida | Tiles in Lucknow | Beige Tiles | Beige Kitchen Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,1120,https://images.orientbell.com/media/catalog/product/d/g/dgvt-rio-wood-living-room-60x60-cm.jpg,https://images.orientbell.com/media/catalog/product/d/g/dgvt-rio-wood-living-room-60x60-cm.jpg,https://server.orientbell.com/dgvt-rio-wood-025606656690566361m.html,Beige,Matte Finish,"Vitrified, Digital Glazed Vitrified Tiles, Glazed Vitrified Tiles",,Wooden,Sikandrabad,600x600 mm
Plain Ocean Blue,In Stock,Plain Tiles | Blue Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | 80x160 DC | Bathroom Wall Tiles | Blue Bathroom Tiles Design | Blue Kitchen Tiles | Tiles in Bangalore | Tiles in Mumbai | Kitchen Wall Tiles | Bathroom Wall Tiles | Blue Bathroom Tiles | Tiles in Chennai | Tiles in Pune | Tiles in Bhopal | Tiles in Jabalpur | Tiles in Indore | Tiles in Coimbatore | Tiles in Nagpur | Tiles in Kolhapur | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Morbi Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,533.33,https://images.orientbell.com/media/catalog/product/p/l/plain-white-plain-ocean-blue-bathroom.jpg,https://images.orientbell.com/media/catalog/product/p/l/plain-white-plain-ocean-blue-bathroom.jpg,https://server.orientbell.com/plain-ocean-blue-010104561880231101w.html,Blue,Glossy Finish,Ceramic,,Plain,West Zone,200x300 mm
Craft Grey,In Stock,Texture Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Grey Tiles | 80x160 DC | Bathroom Wall Tiles | Grey Kitchen Tiles | Tiles in Mumbai | Kitchen Wall Tiles | Bathroom Wall Tiles | Grey Bathroom Tiles | Tiles in Pune | Tiles in Nagpur | Tiles in Kolhapur | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Morbi Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,378,https://images.orientbell.com/media/catalog/product/c/r/craft_grey_20_30_glossy_obl_premium.jpg,,https://server.orientbell.com/craft-grey-010104517440335101w.html,Grey,Glossy Finish,Ceramic,,Texture,West Zone,200x300 mm
DGVT Poplar Beige,In Stock,Floor Tiles | Wooden Tiles | Cream Tiles | 145x600 Tiles | Matte Finish Tiles | Tile Collection | Balcony Tiles | Restaurant Tiles | Accent Tiles | High Traffic Tiles | GVT Tiles | Dgvt Tiles | Digital Glazed Vitrified Tiles | Floor | Floor | Tiles in Delhi | Wooden Floor Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Tiles in Hyderabad | Tiles in Kolkata | Bedroom Floor Tiles | Vitrified Tiles | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,1280,https://images.orientbell.com/media/catalog/product/d/g/dgvt-poplar-beige-1.jpg,https://images.orientbell.com/media/catalog/product/d/g/dgvt-poplar-beige-home-lobby-45x60-cm.jpg,https://server.orientbell.com/dgvt-poplar-beige-025617256670218031m.html,Cream,Matte Finish,"Vitrified, Digital Glazed Vitrified Tiles, Glazed Vitrified Tiles",,Wooden,Sikandrabad,145x600 mm
GFT FT Andes Crema,Out of Stock,Floor Tiles | Wooden Tiles | Cream Tiles | 2x2 Tiles | Matte Finish Tiles | Tile Collection | Medium Tiles | Balcony Tiles | Scratch Free Tile (Forever Tile) | Hospital Tiles | Terrace Tiles | Living Room Tiles | Accent Tiles | Automotive Tiles | High Traffic Tiles | Ceramic Tiles | Floor | Floor | Floor | Floor | Tiles in Delhi | 2x2 Double Charge Tiles | Wooden Floor Tiles | Wall | Wall | Wall | Tiles in Mumbai | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Tiles in Kolkata | Bedroom Floor Tiles | Living Room Floor Tiles | Tiles in Pune | Tiles in Lucknow | Tiles in Bhopal | Tiles in Jabalpur | Tiles in Indore | Tiles in Nagpur | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Kolhapur | Wall Tiles | Living Room Wall Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Subway Tiles | Athangudi Tiles | Elevation Tiles | Outdoor Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,1010,https://images.orientbell.com/media/catalog/product/g/f/gft_ft_andes_crema_f1_germfree_forever_tiles_porcelain_floor_tile_600x600_mm_1_1.jpg,,https://server.orientbell.com/ft-andes-crema-024606635531098361d.html,Cream,Matte Finish,"Ceramic, Forever","Forever Tiles, Non Digital",Wooden,Dora,600x600 mm
BDM Swanwood Brown,In Stock,Floor Tiles | Wooden Tiles | Beige Tiles | Ceramic Tiles | 2x2 Tiles | Matte Finish Tiles | Tile Collection | Medium Tiles | Balcony Tiles | Hospital Tiles | Terrace Tiles | Living Room Tiles | Accent Tiles | Automotive Tiles | High Traffic Tiles | Floor | Floor | Floor | Floor | 2x2 Double Charge Tiles | Wooden Floor Tiles | Tiles in Mumbai | Tiles in Kolkata | Bedroom Floor Tiles | Living Room Floor Tiles | Tiles in Pune | Tiles in Lucknow | Tiles in Nagpur | Tiles in Noida | Tiles in Kolhapur | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,920,https://images.orientbell.com/media/catalog/product/b/d/bdm-swanwood-brown.jpg,https://images.orientbell.com/media/catalog/product/b/d/bdm-swanwood-brown-gym-60x60-cm.jpg,https://server.orientbell.com/bdm-swanwood-brown-025806658960249361d.html,Beige,Matte Finish,Ceramic,,Wooden,Dora,600x600 mm
Elite Grey,In Stock,Marble Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | Bottochino Tiles | Reactive Tiles | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Grey Tiles | Grey Marble Tiles | Grey Kitchen Tiles | Grey Bathroom Tiles | Tiles in Kolkata | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,600,https://images.orientbell.com/media/catalog/product/e/l/elite-grey.jpg,https://images.orientbell.com/media/catalog/product/e/l/elite-grey-kitchen-20x30-cm.jpg,https://server.orientbell.com/elite-grey-010104505610335101m.html,Grey,Glossy Finish,Ceramic,,Marble,Sikandrabad,200x300 mm
Nu loreno gold,In Stock,Marble Tiles | Ivory Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | Bottochino Tiles | Reactive Tiles | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Tiles in Kolkata | Tiles in Patna | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,630,https://images.orientbell.com/media/catalog/product/l/o/loreno-gold.jpg,https://images.orientbell.com/media/catalog/product/p/l/plain-ivory-loreno-gold-bathroom-20x30-cm.jpg,https://server.orientbell.com/loreno-gold-010104507420327101m.html,Ivory,Glossy Finish,Ceramic,,Marble,Sikandrabad,200x300 mm
